date,open,high,low,close,volume
8/12/2010,29.848,30.2448,29.7245,29.9714,11809600
8/13/2010,29.7951,29.8127,29.46,29.6981,11058100
8/16/2010,29.4864,29.7598,29.1955,29.6804,6917800
8/17/2010,29.9097,29.9714,29.5482,29.7686,9875200
8/18/2010,29.8127,30.1742,29.4512,29.9009,8325000
8/19/2010,29.7333,29.7862,29.1514,29.266,12070700
8/20/2010,29.0985,29.2748,28.8427,29.1425,8632700
8/23/2010,29.3013,29.5834,28.9221,29.0367,8046500
8/24/2010,28.6488,28.8295,28.1902,28.3401,14229700
8/25/2010,28.1021,28.4283,27.8199,28.3137,14144000
8/26/2010,28.3754,28.6047,28.1109,28.1638,10120500
8/27/2010,28.3313,28.9662,27.8463,28.9045,11144000
8/30/2010,28.8604,29.0896,28.4989,28.5253,7057900
8/31/2010,28.393,28.9486,28.1373,28.6928,12520700
9/1/2010,29.0985,29.7157,29.0191,29.5482,10020900
9/2/2010,29.6452,29.9626,29.5658,29.9009,7034600
9/3/2010,29.9979,30.5975,29.9979,30.571,8473800
9/7/2010,30.4211,30.5357,29.6804,29.8391,10733100
9/8/2010,29.8744,30.0684,29.7598,29.8391,8370900
9/9/2010,30.28,30.4123,29.9802,30.0508,6990600
9/10/2010,30.1213,30.2271,30.0243,30.1125,7362900
9/13/2010,30.3506,30.571,29.9097,30.2183,8826700
9/14/2010,30.183,30.183,29.7333,30.0243,7761800
9/15/2010,29.989,30.3506,29.8744,30.1654,7262300
9/16/2010,30.0596,30.1478,29.7245,30.1301,7297600
9/17/2010,30.3153,30.6239,30.2977,30.474,19012800
9/20/2010,30.474,30.8532,30.4476,30.7738,10219200
9/21/2010,30.7826,30.8444,30.2183,30.4211,11630600
9/22/2010,30.4828,30.6945,29.8921,29.9714,9897700
9/23/2010,29.6892,29.7421,29.0985,29.2043,18090900
9/24/2010,29.4335,29.8215,29.3718,29.6099,10657100
9/27/2010,29.6275,29.6804,29.3454,29.3542,7884000
9/28/2010,29.4247,29.5129,29.0456,29.2924,12863900
9/29/2010,29.1249,29.2572,28.8163,29.1073,9231200
9/30/2010,29.266,29.5349,28.9486,29.1866,14459500
10/1/2010,29.363,29.6099,29.2043,29.3983,12916300
10/4/2010,29.3013,29.6275,29.169,29.2219,10708300
10/5/2010,29.4423,29.9714,29.4159,29.8303,14555400
10/6/2010,29.8391,29.9626,29.4864,29.7333,11339900
10/7/2010,29.7862,29.9626,29.6981,29.9009,9029800
10/8/2010,29.9538,30.5975,29.8039,30.4299,12971700
10/11/2010,30.4387,30.6327,30.3594,30.4828,5347500
10/12/2010,30.2977,30.5181,29.945,30.4035,9077900
10/13/2010,30.5622,31.0384,30.5005,30.7826,14425700
10/14/2010,30.6768,30.8179,30.4917,30.7297,7358700
10/15/2010,30.8973,30.9943,30.474,30.7562,9641200
10/18/2010,30.7121,30.862,30.4211,30.6416,6926200
10/19/2010,30.421,30.5093,29.9802,30.1919,9554500
10/20/2010,30.2183,30.6416,30.2183,30.5269,10107800
10/21/2010,30.6504,30.8973,30.3858,30.5798,16888400
10/22/2010,30.571,30.8532,30.2448,30.8355,9598800
10/25/2010,31.0031,31.4969,30.9502,31.2676,11230400
10/26/2010,30.9766,31.7173,30.8532,31.7085,14800400
10/27/2010,31.3911,31.7085,31.2764,31.6732,11752600
10/28/2010,31.6997,32.1979,31.6909,32.1935,14226000
10/29/2010,32.1935,32.1935,31.5939,31.854,12926000
11/1/2010,31.9289,32.1758,31.5321,31.7702,8454000
11/2/2010,32.07,32.1406,31.8319,31.8408,16355300
11/3/2010,31.8496,32.1229,31.6997,31.9995,12050100
11/4/2010,32.1847,32.7666,32.1494,32.652,16674900
11/5/2010,32.4316,32.8636,32.4316,32.8019,9712900
11/8/2010,32.6696,32.749,32.5285,32.6784,6802600
